Nro,Ano,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total_PH,Total_PS,Total
47,2013,692.7,518.7,566.7,582.2,152.1,38.9,30.3,9.5,7.1,26.6,7.2,138.6,2651,119.6,2770.6
48,2014,478.2,532.6,392.7,549.9,584.6,153.2,27.8,28.3,16.2,134,12.3,55.7,2593.7,371.8,2965.5
49,2015,566.8,333.6,656.2,892.8,338.6,215.8,163.1,28.5,64.8,328.1,91.9,587.1,3375.1,892.2,4267.3
50,2016,596.9,416.9,680.6,375.4,514.3,56.7,35.2,13.8,30.2,13.7,5.2,133.7,2717.8,154.8,2872.6
51,2017,374.2,410.7,443.1,785.1,415.9,319.2,13.2,71.8,15.4,145.4,14,57.5,2486.5,579,3065.5
52,2018,255.3,512.7,363.2,332.7,587.5,22.4,13.8,42.4,9.8,6.9,58.9,639.3,2690.7,154.2,2844.9
53,2019,504.1,661.9,775.1,292.7,580.8,245.2,20.7,6.4,47.9,141.3,69.7,233.3,3047.9,531.2,3579.1
Med,Med,486.22,538.93,592.26,619.8,358.99,165.47,78.82,48.8,73.55,82.61,62,193.5,2789.7,511.26,3300.96
Máx,Máx,976.8,1016.2,989.9,1197.3,912.8,771,545.9,518.5,849.6,757.2,594.5,639.3,4111.9,3761.7,7187.6
Min,Min,140.6,218.6,174.5,267.1,13.8,4,2.1,0.9,2.9,4.2,0,28.8,1776.34,89.8,2163.84
